hebrew,transliteration,translation
אב,av,father; male parent; sometimes also used for ancestor or the Hebrew month of Av
אבות,avot,fathers; ancestors or forefathers; also used for principal categories
בית־אבות,beit avot,paternal house; family lineage; can refer to a nursing home for the elderly
בן־אבות,ben avot,a son of good family; descendant of a distinguished lineage
זכות־אבות,zechut avot,merit of the fathers; belief that ancestral righteousness benefits descendants
נחת־אבות,nachat avot,satisfaction or pleasure of parents; pride derived from one's children
פרקי־אבות,pirkei avot,Chapters of the Fathers; ethical tractate of the Mishnah
אבות־מלאכה,avot melacha,principal categories of work forbidden on the Sabbath (39 labors)
אבות־נזיקין,avot nezikin,"primary categories of damages in Jewish law (e.g., ox, pit, tooth, fire)"
אב־הרחמים,av ha‑rachamim,Father of compassion; a liturgical epithet for God
אב־עורקים,av orakim,aorta; the main artery leaving the heart
